observation_date,DEXSLUS
2018-06-15,158.9619
2018-06-18,158.9619
2018-06-19,158.9619
2018-06-20,158.9619
2018-06-21,158.9619
2018-06-22,158.9619
2018-06-25,158.9619
2018-06-26,158.9619
2018-06-27,158.9619
2018-06-28,158.9619
2018-06-29,158.9619
2018-07-02,159.3548
2018-07-03,159.3548
2018-07-04,159.3548
2018-07-05,159.3548
2018-07-06,159.3548
2018-07-09,159.3548
2018-07-10,159.3548
2018-07-11,159.3548
2018-07-12,159.3548
2018-07-13,159.3548
2018-07-16,159.3548
2018-07-17,159.3548
2018-07-18,159.3548
2018-07-19,159.3548
2018-07-20,159.3548
2018-07-23,159.3548
2018-07-24,159.3548
2018-07-25,159.3548
2018-07-26,159.3548
2018-07-27,159.3548
2018-07-30,159.3548
2018-07-31,159.3548
2018-08-01,160.3217
2018-08-02,160.3217
2018-08-03,160.3217
2018-08-06,160.3217
2018-08-07,160.3217
2018-08-08,160.3217
2018-08-09,160.3217
2018-08-10,160.3217
2018-08-13,160.3217
2018-08-14,160.3217
2018-08-15,160.3217
2018-08-16,160.3217
2018-08-17,160.3217
2018-08-20,160.3217
2018-08-21,160.3217
2018-08-22,160.3217
2018-08-23,160.3217
2018-08-24,160.3217
2018-08-27,160.3217
2018-08-28,160.3217
2018-08-29,160.3217
2018-08-30,160.3217
2018-08-31,160.3217
2018-09-03,165.2237
2018-09-04,165.2237
2018-09-05,165.2237
2018-09-06,165.2237
2018-09-07,165.2237
2018-09-10,165.2237
2018-09-11,165.2237
2018-09-12,165.2237
2018-09-13,165.2237
2018-09-14,165.2237
2018-09-17,165.2237
2018-09-18,165.2237
2018-09-19,165.2237
2018-09-20,165.2237
2018-09-21,165.2237
2018-09-24,165.2237
2018-09-25,165.2237
2018-09-26,165.2237
2018-09-27,165.2237
2018-09-28,165.2237
2018-10-01,171.3614
2018-10-02,171.3614
2018-10-03,171.3614
2018-10-04,171.3614
2018-10-05,171.3614
2018-10-08,171.3614
2018-10-09,171.3614
2018-10-10,171.3614
2018-10-11,171.3614
2018-10-12,171.3614
2018-10-15,171.3614
2018-10-16,171.3614
2018-10-17,171.3614
2018-10-18,171.3614
2018-10-19,171.3614
2018-10-22,171.3614
2018-10-23,171.3614
2018-10-24,171.3614
2018-10-25,171.3614
2018-10-26,171.3614
2018-10-29,171.3614
2018-10-30,171.3614
2018-10-31,171.3614
2018-11-01,176.7275
2018-11-02,176.7275
2018-11-05,176.7275
2018-11-06,176.7275
2018-11-07,176.7275
2018-11-08,176.7275
2018-11-09,176.7275
2018-11-12,176.7275
2018-11-13,176.7275
2018-11-14,176.7275
2018-11-15,176.7275
2018-11-16,176.7275
2018-11-19,176.7275
2018-11-20,176.7275
2018-11-21,176.7275
2018-11-22,176.7275
2018-11-23,176.7275
2018-11-26,176.7275
2018-11-27,176.7275
2018-11-28,176.7275
2018-11-29,176.7275
2018-11-30,176.7275
2018-12-03,180.0794
2018-12-04,180.0794
2018-12-05,180.0794
2018-12-06,180.0794
2018-12-07,180.0794
2018-12-10,180.0794
2018-12-11,180.0794
2018-12-12,180.0794
2018-12-13,180.0794
2018-12-14,180.0794
2018-12-17,180.0794
2018-12-18,180.0794
2018-12-19,180.0794
2018-12-20,180.0794
2018-12-21,180.0794
2018-12-24,180.0794
2018-12-25,180.0794
2018-12-26,180.0794
2018-12-27,180.0794
2018-12-28,180.0794
2018-12-31,180.0794
2019-01-01,181.6025
2019-01-02,181.6025
2019-01-03,181.6025
2019-01-04,181.6025
2019-01-07,181.6025
2019-01-08,181.6025
2019-01-09,181.6025
2019-01-10,181.6025
2019-01-11,181.6025
2019-01-14,181.6025
2019-01-15,181.6025
2019-01-16,181.6025
2019-01-17,181.6025
2019-01-18,181.6025
2019-01-21,181.6025
2019-01-22,181.6025
2019-01-23,181.6025
2019-01-24,181.6025
2019-01-25,181.6025
2019-01-28,181.6025
2019-01-29,181.6025
2019-01-30,181.6025
2019-01-31,181.6025
2019-02-01,178.3944
2019-02-04,178.3944
2019-02-05,178.3944
2019-02-06,178.3944
2019-02-07,178.3944
2019-02-08,178.3944
2019-02-11,178.3944
2019-02-12,178.3944
2019-02-13,178.3944
2019-02-14,178.3944
2019-02-15,178.3944
2019-02-18,178.3944
2019-02-19,178.3944
2019-02-20,178.3944
2019-02-21,178.3944
2019-02-22,178.3944
2019-02-25,178.3944
2019-02-26,178.3944
2019-02-27,178.3944
2019-02-28,178.3944
2019-03-01,178.0952
2019-03-04,178.0952
2019-03-05,178.0952
2019-03-06,178.0952
2019-03-07,178.0952
2019-03-08,178.0952
2019-03-11,178.0952
2019-03-12,178.0952
2019-03-13,178.0952
2019-03-14,178.0952
2019-03-15,178.0952
2019-03-18,178.0952
2019-03-19,178.0952
2019-03-20,178.0952
2019-03-21,178.0952
2019-03-22,178.0952
2019-03-25,178.0952
2019-03-26,178.0952
2019-03-27,178.0952
2019-03-28,178.0952
2019-03-29,178.0952
2019-04-01,174.6432
2019-04-02,174.6432
2019-04-03,174.6432
2019-04-04,174.6432
2019-04-05,174.6432
2019-04-08,174.6432
2019-04-09,174.6432
2019-04-10,174.6432
2019-04-11,174.6432
2019-04-12,174.6432
2019-04-15,174.6432
2019-04-16,174.6432
2019-04-17,174.6432
2019-04-18,174.6432
2019-04-19,174.6432
2019-04-22,174.6432
2019-04-23,174.6432
2019-04-24,174.6432
2019-04-25,174.6432
2019-04-26,174.6432
2019-04-29,174.6432
2019-04-30,174.6432
2019-05-01,176.1500
2019-05-02,176.1500
2019-05-03,176.1500
2019-05-06,176.1500
2019-05-07,176.1500
2019-05-08,176.1500
2019-05-09,176.1500
2019-05-10,176.1500
2019-05-13,176.1500
2019-05-14,176.1500
2019-05-15,176.1500
2019-05-16,176.1500
2019-05-17,176.1500
2019-05-20,176.1500
2019-05-21,176.1500
2019-05-22,176.1500
2019-05-23,176.1500
2019-05-24,176.1500
2019-05-27,176.1500
2019-05-28,176.1500
2019-05-29,176.1500
2019-05-30,176.1500
2019-05-31,176.1500
2019-06-03,176.4635
2019-06-04,176.4635
2019-06-05,176.4635
2019-06-06,176.4635
2019-06-07,176.4635
2019-06-10,176.4635
2019-06-11,176.4635
2019-06-12,176.4635
2019-06-13,176.4635
2019-06-14,176.4635
2019-06-17,176.4635
2019-06-18,176.4635
2019-06-19,176.4635
2019-06-20,176.4635
2019-06-21,176.4635
2019-06-24,176.4635
2019-06-25,176.4635
2019-06-26,176.4635
2019-06-27,176.4635
2019-06-28,176.4635
2019-07-01,175.8832
2019-07-02,175.8832
2019-07-03,175.8832
2019-07-04,175.8832
2019-07-05,175.8832
2019-07-08,175.8832
2019-07-09,175.8832
2019-07-10,175.8832
2019-07-11,175.8832
2019-07-12,175.8832
2019-07-15,175.8832
2019-07-16,175.8832
2019-07-17,175.8832
2019-07-18,175.8832
2019-07-19,175.8832
2019-07-22,175.8832
2019-07-23,175.8832
2019-07-24,175.8832
2019-07-25,175.8832
2019-07-26,175.8832
2019-07-29,175.8832
2019-07-30,175.8832
2019-07-31,175.8832
2019-08-01,177.9386
2019-08-02,177.9386
2019-08-05,177.9386
2019-08-06,177.9386
2019-08-07,177.9386
2019-08-08,177.9386
2019-08-09,177.9386
2019-08-12,177.9386
2019-08-13,177.9386
2019-08-14,177.9386
2019-08-15,177.9386
2019-08-16,177.9386
2019-08-19,177.9386
2019-08-20,177.9386
2019-08-21,177.9386
2019-08-22,177.9386
2019-08-23,177.9386
2019-08-26,177.9386
2019-08-27,177.9386
2019-08-28,177.9386
2019-08-29,177.9386
2019-08-30,177.9386
2019-09-02,180.7975
2019-09-03,180.7975
2019-09-04,180.7975
2019-09-05,180.7975
2019-09-06,180.7975
2019-09-09,180.7975
2019-09-10,180.7975
2019-09-11,180.7975
2019-09-12,180.7975
2019-09-13,180.7975
2019-09-16,180.7975
2019-09-17,180.7975
2019-09-18,180.7975
2019-09-19,180.7975
2019-09-20,180.7975
2019-09-23,180.7975
2019-09-24,180.7975
2019-09-25,180.7975
2019-09-26,180.7975
2019-09-27,180.7975
2019-09-30,180.7975
2019-10-01,181.3155
2019-10-02,181.3155
2019-10-03,181.3155
2019-10-04,181.3155
2019-10-07,181.3155
2019-10-08,181.3155
2019-10-09,181.3155
2019-10-10,181.3155
2019-10-11,181.3155
2019-10-14,181.3155
2019-10-15,181.3155
2019-10-16,181.3155
2019-10-17,181.3155
2019-10-18,181.3155
2019-10-21,181.3155
2019-10-22,181.3155
2019-10-23,181.3155
2019-10-24,181.3155
2019-10-25,181.3155
2019-10-28,181.3155
2019-10-29,181.3155
2019-10-30,181.3155
2019-10-31,181.3155
2019-11-01,180.3111
2019-11-04,180.3111
2019-11-05,180.3111
2019-11-06,180.3111
2019-11-07,180.3111
2019-11-08,180.3111
2019-11-11,180.3111
2019-11-12,180.3111
2019-11-13,180.3111
2019-11-14,180.3111
2019-11-15,180.3111
2019-11-18,180.3111
2019-11-19,180.3111
2019-11-20,180.3111
2019-11-21,180.3111
2019-11-22,180.3111
2019-11-25,180.3111
2019-11-26,180.3111
2019-11-27,180.3111
2019-11-28,180.3111
2019-11-29,180.3111
2019-12-02,181.1976
2019-12-03,181.1976
2019-12-04,181.1976
2019-12-05,181.1976
2019-12-06,181.1976
2019-12-09,181.1976
2019-12-10,181.1976
2019-12-11,181.1976
2019-12-12,181.1976
2019-12-13,181.1976
2019-12-16,181.1976
2019-12-17,181.1976
2019-12-18,181.1976
2019-12-19,181.1976
2019-12-20,181.1976
2019-12-23,181.1976
2019-12-24,181.1976
2019-12-25,181.1976
2019-12-26,181.1976
2019-12-27,181.1976
2019-12-30,181.1976
2019-12-31,181.1976
2020-01-01,181.3219
2020-01-02,181.3219
2020-01-03,181.3219
2020-01-06,181.3219
2020-01-07,181.3219
2020-01-08,181.3219
